pagecount_desktop_views,year,month,pagecount_mobile_views,pageview_desktop_views,pageview_mobile_views,pagecount_all_views,pageview_all_views
0,2018,5,0,3675652396,4089188522,0,7764840918
0,2018,6,0,3278649434,3977766741,0,7256416175
0,2018,7,0,3457051589,4266113752,0,7723165341
0,2018,8,0,3399130789,4187362161,0,7586492950
0,2018,9,0,3433832231,3977120244,0,7410952475
0,2018,10,0,3640606578,4073789753,0,7714396331
0,2018,11,0,3448616562,4033380040,0,7481996602
0,2018,12,0,3379686909,4289054166,0,7668741075
0,2019,1,0,3616017826,4597597181,0,8213615007
0,2019,2,0,3244921935,4018109995,0,7263031930
0,2019,3,0,3439386600,4407290322,0,7846676922
0,2019,4,0,3330234244,4261664166,0,7591898410
0,2019,5,0,3364959217,4413766230,0,7778725447
0,2019,6,0,2986618238,4285985271,0,7272603509
0,2019,7,0,3140657554,4557266440,0,7697923994
0,2019,8,0,2979881198,4531756543,0,7511637741
0,2019,9,0,3061362632,4437958209,0,7499320841
0,2019,10,0,3588403486,4506591862,0,8094995348
0,2019,11,0,3252465442,4471241664,0,7723707106
0,2019,12,0,3097051994,4554269292,0,7651321286
0,2020,1,0,3440480235,4832149630,0,8272629865
0,2020,2,0,3176520359,4418801212,0,7595321571
0,2020,3,0,3412498274,4686270555,0,8098768829
0,2020,4,0,3798372613,5505741941,0,9304114554
0,2020,5,0,3078093615,5231700095,0,8309793710
0,2020,6,0,2721328557,4573975256,0,7295303813
0,2020,7,0,2638936132,4809714465,0,7448650597
0,2020,8,0,2613058239,4803308661,0,7416366900
0,2020,9,0,2661783500,4492250780,0,7154034280
0,2020,10,0,3041724497,4736574361,0,7778298858
